instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
11260162,43985,NIFTY2321616100CE,NIFTY,0.0,2023-02-16,16100.0,0.05,50,CE,NFO-OPT,NFO
11260418,43986,NIFTY2321616100PE,NIFTY,0.0,2023-02-16,16100.0,0.05,50,PE,NFO-OPT,NFO
11260674,43987,NIFTY2321616150CE,NIFTY,0.0,2023-02-16,16150.0,0.05,50,CE,NFO-OPT,NFO
11260930,43988,NIFTY2321616150PE,NIFTY,0.0,2023-02-16,16150.0,0.05,50,PE,NFO-OPT,NFO
11261186,43989,NIFTY2321616200CE,NIFTY,0.0,2023-02-16,16200.0,0.05,50,CE,NFO-OPT,NFO
11261442,43990,NIFTY2321616200PE,NIFTY,0.0,2023-02-16,16200.0,0.05,50,PE,NFO-OPT,NFO
11261698,43991,NIFTY2321616250CE,NIFTY,0.0,2023-02-16,16250.0,0.05,50,CE,NFO-OPT,NFO
11261954,43992,NIFTY2321616250PE,NIFTY,0.0,2023-02-16,16250.0,0.05,50,PE,NFO-OPT,NFO
11262978,43996,NIFTY2321616300CE,NIFTY,0.0,2023-02-16,16300.0,0.05,50,CE,NFO-OPT,NFO
11263234,43997,NIFTY2321616300PE,NIFTY,0.0,2023-02-16,16300.0,0.05,50,PE,NFO-OPT,NFO
11264514,44002,NIFTY2321616350CE,NIFTY,0.0,2023-02-16,16350.0,0.05,50,CE,NFO-OPT,NFO
11264770,44003,NIFTY2321616350PE,NIFTY,0.0,2023-02-16,16350.0,0.05,50,PE,NFO-OPT,NFO
11265026,44004,NIFTY2321616400CE,NIFTY,0.0,2023-02-16,16400.0,0.05,50,CE,NFO-OPT,NFO
11265538,44006,NIFTY2321616400PE,NIFTY,0.0,2023-02-16,16400.0,0.05,50,PE,NFO-OPT,NFO
11266818,44011,NIFTY2321616450CE,NIFTY,0.0,2023-02-16,16450.0,0.05,50,CE,NFO-OPT,NFO
11267074,44012,NIFTY2321616450PE,NIFTY,0.0,2023-02-16,16450.0,0.05,50,PE,NFO-OPT,NFO
11267330,44013,NIFTY2321616500CE,NIFTY,0.0,2023-02-16,16500.0,0.05,50,CE,NFO-OPT,NFO
11267586,44014,NIFTY2321616500PE,NIFTY,0.0,2023-02-16,16500.0,0.05,50,PE,NFO-OPT,NFO
11267842,44015,NIFTY2321616550CE,NIFTY,0.0,2023-02-16,16550.0,0.05,50,CE,NFO-OPT,NFO
11268098,44016,NIFTY2321616550PE,NIFTY,0.0,2023-02-16,16550.0,0.05,50,PE,NFO-OPT,NFO
11268354,44017,NIFTY2321616600CE,NIFTY,0.0,2023-02-16,16600.0,0.05,50,CE,NFO-OPT,NFO
11268866,44019,NIFTY2321616600PE,NIFTY,0.0,2023-02-16,16600.0,0.05,50,PE,NFO-OPT,NFO
11269634,44022,NIFTY2321616650CE,NIFTY,0.0,2023-02-16,16650.0,0.05,50,CE,NFO-OPT,NFO
11269890,44023,NIFTY2321616650PE,NIFTY,0.0,2023-02-16,16650.0,0.05,50,PE,NFO-OPT,NFO
11270658,44026,NIFTY2321616700CE,NIFTY,0.0,2023-02-16,16700.0,0.05,50,CE,NFO-OPT,NFO
11270914,44027,NIFTY2321616700PE,NIFTY,0.0,2023-02-16,16700.0,0.05,50,PE,NFO-OPT,NFO
11271170,44028,NIFTY2321616750CE,NIFTY,0.0,2023-02-16,16750.0,0.05,50,CE,NFO-OPT,NFO
11271426,44029,NIFTY2321616750PE,NIFTY,0.0,2023-02-16,16750.0,0.05,50,PE,NFO-OPT,NFO
11271682,44030,NIFTY2321616800CE,NIFTY,0.0,2023-02-16,16800.0,0.05,50,CE,NFO-OPT,NFO
11273218,44036,NIFTY2321616800PE,NIFTY,0.0,2023-02-16,16800.0,0.05,50,PE,NFO-OPT,NFO
11273474,44037,NIFTY2321616850CE,NIFTY,0.0,2023-02-16,16850.0,0.05,50,CE,NFO-OPT,NFO
11273986,44039,NIFTY2321616850PE,NIFTY,0.0,2023-02-16,16850.0,0.05,50,PE,NFO-OPT,NFO
11274242,44040,NIFTY2321616900CE,NIFTY,0.0,2023-02-16,16900.0,0.05,50,CE,NFO-OPT,NFO
11274498,44041,NIFTY2321616900PE,NIFTY,0.0,2023-02-16,16900.0,0.05,50,PE,NFO-OPT,NFO
11275010,44043,NIFTY2321616950CE,NIFTY,0.0,2023-02-16,16950.0,0.05,50,CE,NFO-OPT,NFO
11276546,44049,NIFTY2321616950PE,NIFTY,0.0,2023-02-16,16950.0,0.05,50,PE,NFO-OPT,NFO
11276802,44050,NIFTY2321617000CE,NIFTY,0.0,2023-02-16,17000.0,0.05,50,CE,NFO-OPT,NFO
11277314,44052,NIFTY2321617000PE,NIFTY,0.0,2023-02-16,17000.0,0.05,50,PE,NFO-OPT,NFO
11277570,44053,NIFTY2321617050CE,NIFTY,0.0,2023-02-16,17050.0,0.05,50,CE,NFO-OPT,NFO
11277826,44054,NIFTY2321617050PE,NIFTY,0.0,2023-02-16,17050.0,0.05,50,PE,NFO-OPT,NFO
11278082,44055,NIFTY2321617100CE,NIFTY,0.0,2023-02-16,17100.0,0.05,50,CE,NFO-OPT,NFO
11278338,44056,NIFTY2321617100PE,NIFTY,0.0,2023-02-16,17100.0,0.05,50,PE,NFO-OPT,NFO
11278594,44057,NIFTY2321617150CE,NIFTY,0.0,2023-02-16,17150.0,0.05,50,CE,NFO-OPT,NFO
11278850,44058,NIFTY2321617150PE,NIFTY,0.0,2023-02-16,17150.0,0.05,50,PE,NFO-OPT,NFO
11279106,44059,NIFTY2321617200CE,NIFTY,0.0,2023-02-16,17200.0,0.05,50,CE,NFO-OPT,NFO
11279362,44060,NIFTY2321617200PE,NIFTY,0.0,2023-02-16,17200.0,0.05,50,PE,NFO-OPT,NFO
11279618,44061,NIFTY2321617250CE,NIFTY,0.0,2023-02-16,17250.0,0.05,50,CE,NFO-OPT,NFO
11280898,44066,NIFTY2321617250PE,NIFTY,0.0,2023-02-16,17250.0,0.05,50,PE,NFO-OPT,NFO
11281154,44067,NIFTY2321617300CE,NIFTY,0.0,2023-02-16,17300.0,0.05,50,CE,NFO-OPT,NFO
11281410,44068,NIFTY2321617300PE,NIFTY,0.0,2023-02-16,17300.0,0.05,50,PE,NFO-OPT,NFO
11281666,44069,NIFTY2321617350CE,NIFTY,0.0,2023-02-16,17350.0,0.05,50,CE,NFO-OPT,NFO
11281922,44070,NIFTY2321617350PE,NIFTY,0.0,2023-02-16,17350.0,0.05,50,PE,NFO-OPT,NFO
