instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
14924290,58298,NIFTY23FEB16100CE,NIFTY,0.0,2023-02-23,16100.0,0.05,50,CE,NFO-OPT,NFO
14924546,58299,NIFTY23FEB16100PE,NIFTY,0.0,2023-02-23,16100.0,0.05,50,PE,NFO-OPT,NFO
14924802,58300,NIFTY23FEB16150CE,NIFTY,0.0,2023-02-23,16150.0,0.05,50,CE,NFO-OPT,NFO
14925058,58301,NIFTY23FEB16150PE,NIFTY,0.0,2023-02-23,16150.0,0.05,50,PE,NFO-OPT,NFO
14925314,58302,NIFTY23FEB16200CE,NIFTY,0.0,2023-02-23,16200.0,0.05,50,CE,NFO-OPT,NFO
14925570,58303,NIFTY23FEB16200PE,NIFTY,0.0,2023-02-23,16200.0,0.05,50,PE,NFO-OPT,NFO
14925826,58304,NIFTY23FEB16250CE,NIFTY,0.0,2023-02-23,16250.0,0.05,50,CE,NFO-OPT,NFO
14926082,58305,NIFTY23FEB16250PE,NIFTY,0.0,2023-02-23,16250.0,0.05,50,PE,NFO-OPT,NFO
14931202,58325,NIFTY23FEB16300CE,NIFTY,0.0,2023-02-23,16300.0,0.05,50,CE,NFO-OPT,NFO
14931458,58326,NIFTY23FEB16300PE,NIFTY,0.0,2023-02-23,16300.0,0.05,50,PE,NFO-OPT,NFO
14931714,58327,NIFTY23FEB16350CE,NIFTY,0.0,2023-02-23,16350.0,0.05,50,CE,NFO-OPT,NFO
14931970,58328,NIFTY23FEB16350PE,NIFTY,0.0,2023-02-23,16350.0,0.05,50,PE,NFO-OPT,NFO
14932226,58329,NIFTY23FEB16400CE,NIFTY,0.0,2023-02-23,16400.0,0.05,50,CE,NFO-OPT,NFO
14932482,58330,NIFTY23FEB16400PE,NIFTY,0.0,2023-02-23,16400.0,0.05,50,PE,NFO-OPT,NFO
14932738,58331,NIFTY23FEB16450CE,NIFTY,0.0,2023-02-23,16450.0,0.05,50,CE,NFO-OPT,NFO
14932994,58332,NIFTY23FEB16450PE,NIFTY,0.0,2023-02-23,16450.0,0.05,50,PE,NFO-OPT,NFO
14933762,58335,NIFTY23FEB16500CE,NIFTY,0.0,2023-02-23,16500.0,0.05,50,CE,NFO-OPT,NFO
14934018,58336,NIFTY23FEB16500PE,NIFTY,0.0,2023-02-23,16500.0,0.05,50,PE,NFO-OPT,NFO
